plate,transfer,rep,p,n,f
1,0,1,U,0,0
1,0,1,S,89,0.9468085106382979
1,0,1,A,5,0.05319148936170213
1,0,1,B,0,0
1,0,1,A/B,0,0
1,0,1,AB,0,0
1,0,1,E,0,0
1,0,2,U,14,0.14893617021276595
1,0,2,S,77,0.8191489361702128
1,0,2,A,3,0.031914893617021274
1,0,2,B,0,0
1,0,2,A/B,0,0
1,0,2,AB,0,0
1,0,2,E,0,0
1,0,3,U,13,0.13829787234042554
1,0,3,S,72,0.7659574468085106
1,0,3,A,9,0.09574468085106383
1,0,3,B,0,0
1,0,3,A/B,0,0
1,0,3,AB,0,0
1,0,3,E,0,0
1,0,4,U,14,0.14893617021276595
1,0,4,S,40,0.425531914893617
1,0,4,A,40,0.425531914893617
1,0,4,B,0,0
1,0,4,A/B,0,0
1,0,4,AB,0,0
1,0,4,E,0,0
1,1,1,U,1,0.010638297872340425
1,1,1,S,92,0.9787234042553191
1,1,1,A,1,0.010638297872340425
1,1,1,B,0,0
1,1,1,A/B,0,0
1,1,1,AB,0,0
1,1,1,E,0,0
1,1,2,U,7,0.07446808510638298
1,1,2,S,85,0.9042553191489362
1,1,2,A,2,0.02127659574468085
1,1,2,B,0,0
1,1,2,A/B,0,0
1,1,2,AB,0,0
1,1,2,E,0,0
1,1,3,U,6,0.06382978723404255
1,1,3,S,85,0.9042553191489362
1,1,3,A,3,0.031914893617021274
1,1,3,B,0,0
1,1,3,A/B,0,0
1,1,3,AB,0,0
1,1,3,E,0,0
1,1,4,U,6,0.06382978723404255
1,1,4,S,87,0.925531914893617
1,1,4,A,1,0.010638297872340425
1,1,4,B,0,0
1,1,4,A/B,0,0
1,1,4,AB,0,0
1,1,4,E,0,0
1,2,1,U,0,0
1,2,1,S,87,0.925531914893617
1,2,1,A,7,0.07446808510638298
1,2,1,B,0,0
1,2,1,A/B,0,0
1,2,1,AB,0,0
1,2,1,E,0,0
1,2,2,U,4,0.0425531914893617
1,2,2,S,76,0.8085106382978723
1,2,2,A,14,0.14893617021276595
1,2,2,B,0,0
1,2,2,A/B,0,0
1,2,2,AB,0,0
1,2,2,E,0,0
1,2,3,U,3,0.031914893617021274
1,2,3,S,60,0.6382978723404256
1,2,3,A,31,0.32978723404255317
1,2,3,B,0,0
1,2,3,A/B,0,0
1,2,3,AB,0,0
1,2,3,E,0,0
1,2,4,U,4,0.0425531914893617
1,2,4,S,73,0.776595744680851
1,2,4,A,17,0.18085106382978725
1,2,4,B,0,0
1,2,4,A/B,0,0
1,2,4,AB,0,0
1,2,4,E,0,0
1,3,1,U,2,0.02127659574468085
1,3,1,S,91,0.9680851063829787
1,3,1,A,1,0.010638297872340425
1,3,1,B,0,0
1,3,1,A/B,0,0
1,3,1,AB,0,0
1,3,1,E,0,0
1,3,2,U,3,0.031914893617021274
1,3,2,S,73,0.776595744680851
1,3,2,A,18,0.19148936170212766
1,3,2,B,0,0
1,3,2,A/B,0,0
1,3,2,AB,0,0
1,3,2,E,0,0
1,3,3,U,2,0.02127659574468085
1,3,3,S,82,0.8723404255319149
1,3,3,A,10,0.10638297872340426
1,3,3,B,0,0
1,3,3,A/B,0,0
1,3,3,AB,0,0
1,3,3,E,0,0
1,3,4,U,3,0.031914893617021274
1,3,4,S,88,0.9361702127659575
1,3,4,A,3,0.031914893617021274
1,3,4,B,0,0
1,3,4,A/B,0,0
1,3,4,AB,0,0
1,3,4,E,0,0
1,4,1,U,3,0.031914893617021274
1,4,1,S,91,0.9680851063829787
1,4,1,A,0,0
1,4,1,B,0,0
1,4,1,A/B,0,0
1,4,1,AB,0,0
1,4,1,E,0,0
1,4,2,U,3,0.031914893617021274
1,4,2,S,91,0.9680851063829787
1,4,2,A,0,0
1,4,2,B,0,0
1,4,2,A/B,0,0
1,4,2,AB,0,0
1,4,2,E,0,0
1,4,3,U,2,0.02127659574468085
1,4,3,S,90,0.9574468085106383
1,4,3,A,2,0.02127659574468085
1,4,3,B,0,0
1,4,3,A/B,0,0
1,4,3,AB,0,0
1,4,3,E,0,0
1,4,4,U,4,0.0425531914893617
1,4,4,S,90,0.9574468085106383
1,4,4,A,0,0
1,4,4,B,0,0
1,4,4,A/B,0,0
1,4,4,AB,0,0
1,4,4,E,0,0
1,5,1,U,1,0.010638297872340425
1,5,1,S,69,0.7340425531914894
1,5,1,A,24,0.2553191489361702
1,5,1,B,0,0
1,5,1,A/B,0,0
1,5,1,AB,0,0
1,5,1,E,0,0
1,5,2,U,2,0.02127659574468085
1,5,2,S,67,0.7127659574468085
1,5,2,A,25,0.26595744680851063
1,5,2,B,0,0
1,5,2,A/B,0,0
1,5,2,AB,0,0
1,5,2,E,0,0
1,5,3,U,0,0
1,5,3,S,45,0.4787234042553192
1,5,3,A,40,0.425531914893617
1,5,3,B,6,0.06382978723404255
1,5,3,A/B,3,0.031914893617021274
1,5,3,AB,0,0
1,5,3,E,0,0
1,5,4,U,2,0.02127659574468085
1,5,4,S,77,0.8191489361702128
1,5,4,A,15,0.1595744680851064
1,5,4,B,0,0
1,5,4,A/B,0,0
1,5,4,AB,0,0
1,5,4,E,0,0
2,0,1,U,0,0
2,0,1,S,84,0.8936170212765957
2,0,1,A,10,0.10638297872340426
2,0,1,B,0,0
2,0,1,A/B,0,0
2,0,1,AB,0,0
2,0,1,E,0,0
2,0,2,U,14,0.14893617021276595
2,0,2,S,72,0.7659574468085106
2,0,2,A,7,0.07446808510638298
2,0,2,B,1,0.010638297872340425
2,0,2,A/B,0,0
2,0,2,AB,0,0
2,0,2,E,0,0
2,0,3,U,14,0.14893617021276595
2,0,3,S,74,0.7872340425531915
2,0,3,A,6,0.06382978723404255
2,0,3,B,0,0
2,0,3,A/B,0,0
2,0,3,AB,0,0
2,0,3,E,0,0
2,0,4,U,14,0.14893617021276595
2,0,4,S,41,0.43617021276595747
2,0,4,A,39,0.4148936170212766
2,0,4,B,0,0
2,0,4,A/B,0,0
2,0,4,AB,0,0
2,0,4,E,0,0
2,1,1,U,92,0.9787234042553191
2,1,1,S,0,0
2,1,1,A,2,0.02127659574468085
2,1,1,B,0,0
2,1,1,A/B,0,0
2,1,1,AB,0,0
2,1,1,E,0,0
2,1,2,U,83,0.8829787234042553
2,1,2,S,3,0.031914893617021274
2,1,2,A,8,0.0851063829787234
2,1,2,B,0,0
2,1,2,A/B,0,0
2,1,2,AB,0,0
2,1,2,E,0,0
2,1,3,U,86,0.9148936170212766
2,1,3,S,0,0
2,1,3,A,8,0.0851063829787234
2,1,3,B,0,0
2,1,3,A/B,0,0
2,1,3,AB,0,0
2,1,3,E,0,0
2,1,4,U,94,1
2,1,4,S,0,0
2,1,4,A,0,0
2,1,4,B,0,0
2,1,4,A/B,0,0
2,1,4,AB,0,0
2,1,4,E,0,0
2,2,1,U,94,1
2,2,1,S,0,0
2,2,1,A,0,0
2,2,1,B,0,0
2,2,1,A/B,0,0
2,2,1,AB,0,0
2,2,1,E,0,0
2,2,2,U,94,1
2,2,2,S,0,0
2,2,2,A,0,0
2,2,2,B,0,0
2,2,2,A/B,0,0
2,2,2,AB,0,0
2,2,2,E,0,0
2,2,3,U,90,0.9574468085106383
2,2,3,S,0,0
2,2,3,A,4,0.0425531914893617
2,2,3,B,0,0
2,2,3,A/B,0,0
2,2,3,AB,0,0
2,2,3,E,0,0
2,2,4,U,94,1
2,2,4,S,0,0
2,2,4,A,0,0
2,2,4,B,0,0
2,2,4,A/B,0,0
2,2,4,AB,0,0
2,2,4,E,0,0
2,3,1,U,94,1
2,3,1,S,0,0
2,3,1,A,0,0
2,3,1,B,0,0
2,3,1,A/B,0,0
2,3,1,AB,0,0
2,3,1,E,0,0
2,3,2,U,88,0.9361702127659575
2,3,2,S,0,0
2,3,2,A,6,0.06382978723404255
2,3,2,B,0,0
2,3,2,A/B,0,0
2,3,2,AB,0,0
2,3,2,E,0,0
2,3,3,U,94,1
2,3,3,S,0,0
2,3,3,A,0,0
2,3,3,B,0,0
2,3,3,A/B,0,0
2,3,3,AB,0,0
2,3,3,E,0,0
2,3,4,U,94,1
2,3,4,S,0,0
2,3,4,A,0,0
2,3,4,B,0,0
2,3,4,A/B,0,0
2,3,4,AB,0,0
2,3,4,E,0,0
2,4,1,U,94,1
2,4,1,S,0,0
2,4,1,A,0,0
2,4,1,B,0,0
2,4,1,A/B,0,0
2,4,1,AB,0,0
2,4,1,E,0,0
2,4,2,U,94,1
2,4,2,S,0,0
2,4,2,A,0,0
2,4,2,B,0,0
2,4,2,A/B,0,0
2,4,2,AB,0,0
2,4,2,E,0,0
2,4,3,U,94,1
2,4,3,S,0,0
2,4,3,A,0,0
2,4,3,B,0,0
2,4,3,A/B,0,0
2,4,3,AB,0,0
2,4,3,E,0,0
2,4,4,U,94,1
2,4,4,S,0,0
2,4,4,A,0,0
2,4,4,B,0,0
2,4,4,A/B,0,0
2,4,4,AB,0,0
2,4,4,E,0,0
2,5,1,U,94,1
2,5,1,S,0,0
2,5,1,A,0,0
2,5,1,B,0,0
2,5,1,A/B,0,0
2,5,1,AB,0,0
2,5,1,E,0,0
2,5,2,U,94,1
2,5,2,S,0,0
2,5,2,A,0,0
2,5,2,B,0,0
2,5,2,A/B,0,0
2,5,2,AB,0,0
2,5,2,E,0,0
2,5,3,U,89,0.9468085106382979
2,5,3,S,0,0
2,5,3,A,0,0
2,5,3,B,0,0
2,5,3,A/B,0,0
2,5,3,AB,5,0.05319148936170213
2,5,3,E,0,0
2,5,4,U,91,0.9680851063829787
2,5,4,S,0,0
2,5,4,A,0,0
2,5,4,B,0,0
2,5,4,A/B,0,0
2,5,4,AB,3,0.031914893617021274
2,5,4,E,0,0
3,0,1,U,0,0
3,0,1,S,88,0.9361702127659575
3,0,1,A,6,0.06382978723404255
3,0,1,B,0,0
3,0,1,A/B,0,0
3,0,1,AB,0,0
3,0,1,E,0,0
3,0,2,U,14,0.14893617021276595
3,0,2,S,78,0.8297872340425532
3,0,2,A,2,0.02127659574468085
3,0,2,B,0,0
3,0,2,A/B,0,0
3,0,2,AB,0,0
3,0,2,E,0,0
3,0,3,U,14,0.14893617021276595
3,0,3,S,75,0.7978723404255319
3,0,3,A,5,0.05319148936170213
3,0,3,B,0,0
3,0,3,A/B,0,0
3,0,3,AB,0,0
3,0,3,E,0,0
3,0,4,U,14,0.14893617021276595
3,0,4,S,59,0.6276595744680851
3,0,4,A,21,0.22340425531914893
3,0,4,B,0,0
3,0,4,A/B,0,0
3,0,4,AB,0,0
3,0,4,E,0,0
3,1,1,U,91,0.9680851063829787
3,1,1,S,3,0.031914893617021274
3,1,1,A,0,0
3,1,1,B,0,0
3,1,1,A/B,0,0
3,1,1,AB,0,0
3,1,1,E,0,0
3,1,2,U,82,0.8723404255319149
3,1,2,S,1,0.010638297872340425
3,1,2,A,11,0.11702127659574468
3,1,2,B,0,0
3,1,2,A/B,0,0
3,1,2,AB,0,0
3,1,2,E,0,0
3,1,3,U,76,0.8085106382978723
3,1,3,S,4,0.0425531914893617
3,1,3,A,14,0.14893617021276595
3,1,3,B,0,0
3,1,3,A/B,0,0
3,1,3,AB,0,0
3,1,3,E,0,0
3,1,4,U,94,1
3,1,4,S,0,0
3,1,4,A,0,0
3,1,4,B,0,0
3,1,4,A/B,0,0
3,1,4,AB,0,0
3,1,4,E,0,0
3,2,1,U,94,1
3,2,1,S,0,0
3,2,1,A,0,0
3,2,1,B,0,0
3,2,1,A/B,0,0
3,2,1,AB,0,0
3,2,1,E,0,0
3,2,2,U,94,1
3,2,2,S,0,0
3,2,2,A,0,0
3,2,2,B,0,0
3,2,2,A/B,0,0
3,2,2,AB,0,0
3,2,2,E,0,0
3,2,3,U,91,0.9680851063829787
3,2,3,S,0,0
3,2,3,A,3,0.031914893617021274
3,2,3,B,0,0
3,2,3,A/B,0,0
3,2,3,AB,0,0
3,2,3,E,0,0
3,2,4,U,94,1
3,2,4,S,0,0
3,2,4,A,0,0
3,2,4,B,0,0
3,2,4,A/B,0,0
3,2,4,AB,0,0
3,2,4,E,0,0
3,3,1,U,94,1
3,3,1,S,0,0
3,3,1,A,0,0
3,3,1,B,0,0
3,3,1,A/B,0,0
3,3,1,AB,0,0
3,3,1,E,0,0
3,3,2,U,89,0.9468085106382979
3,3,2,S,0,0
3,3,2,A,5,0.05319148936170213
3,3,2,B,0,0
3,3,2,A/B,0,0
3,3,2,AB,0,0
3,3,2,E,0,0
3,3,3,U,94,1
3,3,3,S,0,0
3,3,3,A,0,0
3,3,3,B,0,0
3,3,3,A/B,0,0
3,3,3,AB,0,0
3,3,3,E,0,0
3,3,4,U,93,0.9893617021276596
3,3,4,S,1,0.010638297872340425
3,3,4,A,0,0
3,3,4,B,0,0
3,3,4,A/B,0,0
3,3,4,AB,0,0
3,3,4,E,0,0
3,4,1,U,94,1
3,4,1,S,0,0
3,4,1,A,0,0
3,4,1,B,0,0
3,4,1,A/B,0,0
3,4,1,AB,0,0
3,4,1,E,0,0
3,4,2,U,91,0.9680851063829787
3,4,2,S,1,0.010638297872340425
3,4,2,A,2,0.02127659574468085
3,4,2,B,0,0
3,4,2,A/B,0,0
3,4,2,AB,0,0
3,4,2,E,0,0
3,4,3,U,93,0.9893617021276596
3,4,3,S,0,0
3,4,3,A,1,0.010638297872340425
3,4,3,B,0,0
3,4,3,A/B,0,0
3,4,3,AB,0,0
3,4,3,E,0,0
3,4,4,U,94,1
3,4,4,S,0,0
3,4,4,A,0,0
3,4,4,B,0,0
3,4,4,A/B,0,0
3,4,4,AB,0,0
3,4,4,E,0,0
3,5,1,U,94,1
3,5,1,S,0,0
3,5,1,A,0,0
3,5,1,B,0,0
3,5,1,A/B,0,0
3,5,1,AB,0,0
3,5,1,E,0,0
3,5,2,U,94,1
3,5,2,S,0,0
3,5,2,A,0,0
3,5,2,B,0,0
3,5,2,A/B,0,0
3,5,2,AB,0,0
3,5,2,E,0,0
3,5,3,U,88,0.9361702127659575
3,5,3,S,0,0
3,5,3,A,0,0
3,5,3,B,0,0
3,5,3,A/B,1,0.010638297872340425
3,5,3,AB,5,0.05319148936170213
3,5,3,E,0,0
3,5,4,U,94,1
3,5,4,S,0,0
3,5,4,A,0,0
3,5,4,B,0,0
3,5,4,A/B,0,0
3,5,4,AB,0,0
3,5,4,E,0,0
4,0,1,U,0,0
4,0,1,S,91,0.9680851063829787
4,0,1,A,3,0.031914893617021274
4,0,1,B,0,0
4,0,1,A/B,0,0
4,0,1,AB,0,0
4,0,1,E,0,0
4,0,2,U,13,0.13829787234042554
4,0,2,S,80,0.851063829787234
4,0,2,A,1,0.010638297872340425
4,0,2,B,0,0
4,0,2,A/B,0,0
4,0,2,AB,0,0
4,0,2,E,0,0
4,0,3,U,14,0.14893617021276595
